"STATION","NAME","DATE","TMAX","TMIN"
"RSM00028224","PERM, RS","2021-07-22",,"58"
"RSM00028224","PERM, RS","2021-07-23",,
"RSM00028224","PERM, RS","2021-07-24",,"50"
"RSM00028224","PERM, RS","2021-07-25",,"49"
"RSM00028224","PERM, RS","2021-07-26",,"47"
"RSM00028224","PERM, RS","2021-07-27",,
"RSM00028224","PERM, RS","2021-07-28",,"48"
"RSM00028224","PERM, RS","2021-07-29",,"45"
"RSM00028224","PERM, RS","2021-07-30",,"58"
"RSM00028224","PERM, RS","2021-07-31",,"55"
"RSM00028224","PERM, RS","2021-08-01",,
"RSM00028224","PERM, RS","2021-08-02",,"54"
"RSM00028224","PERM, RS","2021-08-03",,"61"
"RSM00028224","PERM, RS","2021-08-04",,"66"
"RSM00028224","PERM, RS","2021-08-05",,"61"
"RSM00028224","PERM, RS","2021-08-06",,
"RSM00028224","PERM, RS","2021-08-07",,"46"
"RSM00028224","PERM, RS","2021-08-08",,"47"
"RSM00028224","PERM, RS","2021-08-09",,"49"
"RSM00028224","PERM, RS","2021-08-10",,"53"
"RSM00028224","PERM, RS","2021-08-12",,"49"
"RSM00028224","PERM, RS","2021-08-13",,"51"
"RSM00028224","PERM, RS","2021-08-14",,"60"
"RSM00028224","PERM, RS","2021-08-15",,"57"
"RSM00028224","PERM, RS","2021-08-16",,"55"
